group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,-.0032338265,.078070059,.062974729,1.2397045,.21570072,530,28,.47331661
Top 50%,50,-.003233826414025,,.033408206,.027095556,1.2329774,.21821122,530,37,.38091066
0-20%,20,,-.36907238,.05724797,.13936697,.41077143,.68176991,212,16,.58175063
20-40%,20,-.3690723829206566,-.10819227,.16147541,.15140277,1.0665287,.28776184,212,19,.48650068
40-60%,20,-.1081922633289539,.24604294,.0468463,.048149083,.97294271,.33204126,212,21,.5046472
60-80%,20,.2460429405118771,.61237347,-.011779487,.030405592,-.38741189,.69896942,212,23,.51856434
80-100%,20,.6123734814449457,,.080749169,.046225019,1.7468716,.082590558,212,22,.39642286
