varname,N,mean,sd,median,min,max
theta_hat_full,1120,.61863869,.41268864,.61603105,-1.8299016,4.6825924
mG_hat_full,1120,1.2378232,.64773738,1.2661896,-1.2167274,5.1335449
sg_G_hat_full,1120,-1.2378232,.64773738,-1.2661896,-5.1335449,1.2167274
