varname,N,mean,sd,median,min,max
theta_hat_full,1120,-2.3079214,2.6291118,-1.676796,-12.554192,5.4839306
mG_hat_full,1120,-3.8337626,4.0051842,-3.3340788,-14.46212,4.6448793
sg_G_hat_full,1120,3.8337626,4.0051842,3.3340788,-4.6448793,14.46212
