group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,-1.6091583,.091385335,.22671932,.40307698,.68707889,530,39,.46512303
Top 50%,50,-1.609158333460619,,.20451811,.23498891,.87033087,.38456485,530,31,.39787915
0-20%,20,,-4.3165989,.40504998,.28592882,1.4166112,.15856522,212,23,.44885901
20-40%,20,-4.316598978793458,-2.8137853,.15015331,.71957535,.20866933,.83497518,212,24,.55535877
40-60%,20,-2.813785339763484,-.94649255,-.011887425,.34685242,-.034272287,.97270328,212,24,.55493182
60-80%,20,-.9464925732039819,-.15597956,.25561559,.31175408,.81992704,.41348511,212,23,.31908402
80-100%,20,-.1559795610629236,,-.10543946,.28364077,-.37173593,.71055794,212,14,.41879609
