varname,N,mean,sd,median,min,max
theta_hat_full,1120,-1.5106106,1.3746483,-1.2337761,-17.757261,5.1274676
mG_hat_full,1120,-2.4946218,1.7196317,-2.3011229,-20.124531,14.397338
sg_G_hat_full,1120,2.4946218,1.7196317,2.3011229,-14.397338,20.124531
