group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,-1.2337761,.46672848,.51129568,.91283482,.36182594,530,56,.43481985
Top 50%,50,-1.233776120717933,,-.0063554375,.084122457,-.075549833,.93981153,530,59,.51936471
0-20%,20,,-2.0913596,-.53261054,.56171,-.94819486,.34465253,212,41,.45380795
20-40%,20,-2.091359573005454,-1.4387844,1.4370271,.58334184,2.4634392,.015019098,212,46,.48560637
40-60%,20,-1.438784346565803,-1.0620912,.75281644,.39047489,1.927951,.05609348,212,55,.60899019
60-80%,20,-1.06209118843437,-.64495391,.20322579,.22852288,.88930172,.37544662,212,49,.527035
80-100%,20,-.6449538839693886,,-.080087908,.086615346,-.92463875,.35677963,212,45,.61332804
