varname,N,mean,sd,median,min,max
theta_hat_full,1103,.84719491,9.6382647,-2.1679449,-5.1001344,77.355721
mG_hat_full,1103,-3.0602357,7.9014759,-4.8037376,-17.03517,33.813602
sg_G_hat_full,1103,3.0602357,7.9014759,4.8037376,-33.813602,17.03517
