varname,N,mean,sd,median,min,max
theta_hat_full,1103,9.4174786,13.588386,5.001668,-.037367936,106.47846
mG_hat_full,1103,11.123162,7.4437971,9.5440903,-.9579066,46.54369
sg_G_hat_full,1103,-11.123162,7.4437971,-9.5440903,-46.54369,.9579066
