group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,4.9041567,.03981863,.12749167,.31232339,.75493848,522,39,.48229694
Top 50%,50,4.904156722886561,,.027217306,.20550181,.13244314,.89469349,522,45,.46695897
0-20%,20,,1.959704,.030376971,.24167523,.12569335,.90014297,209,29,.45818567
20-40%,20,1.959703998525992,3.4614713,-.027340554,.21446252,-.12748407,.89873517,209,35,.59118611
40-60%,20,3.461471303556674,6.9785419,.077960365,.27197519,.28664511,.77481085,209,40,.64339161
60-80%,20,6.978541877093776,13.011656,.16630115,.32069638,.51856256,.60485625,208,32,.36363989
80-100%,20,13.01165554037235,,-.060492512,.39883736,-.15167214,.87964028,209,22,.6217761
