varname,N,mean,sd,median,min,max
theta_hat_full,1120,6.2907653,11.899828,2.4598873,-.9320159,95.481506
mG_hat_full,1120,6.0983186,7.5045953,4.6614676,-6.0963039,41.736717
sg_G_hat_full,1120,-6.0983186,7.5045953,-4.6614676,-41.736717,6.0963039
