varname,N,mean,sd,median,min,max
theta_hat_full,1120,.49788511,2.5024295,1.0510917,-19.778069,2.6673193
mG_hat_full,1120,2.1057394,2.3988161,2.5302498,-8.6453571,7.1320653
sg_G_hat_full,1120,-2.1057394,2.3988161,-2.5302498,-7.1320653,8.6453571
