varname,N,mean,sd,median,min,max
theta_hat_full,1120,.66682541,.32796293,.64604998,-1.1879328,1.6365662
mG_hat_full,1120,1.3131627,.49755555,1.3284699,-.52140969,2.6168232
sg_G_hat_full,1120,-1.3131627,.49755555,-1.3284699,-2.6168232,.52140969
