varname,N,mean,sd,median,min,max
theta_hat_full,1120,.89168048,3.770385,.21991606,-19.737469,52.818695
mG_hat_full,1120,1.0704474,5.739449,.43440902,-55.420536,58.869564
sg_G_hat_full,1120,-1.0704474,5.739449,-.43440902,-58.869564,55.420536
