group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,.2703715,.14313763,.10694491,1.338424,.18144946,530,60,.55889404
Top 50%,50,.2703714854776843,,-.00088384823,.10699878,-.0082603581,.99341303,530,59,.35355008
0-20%,20,,-.60952723,.37388134,.35087284,1.065575,.28870302,212,59,.60714871
20-40%,20,-.6095272446764588,.00082823454,.078496434,.19904369,.39436784,.69396067,212,53,.60928196
40-60%,20,.0008282345245856,.63105655,.11945233,.1188829,1.0047898,.3168647,212,52,.63953203
60-80%,20,.6310565325514506,1.9205195,.0051740627,.18345733,.028203087,.97754478,212,55,.41168821
80-100%,20,1.920519479217552,,-.29278618,.14459339,-2.0248933,.044821244,212,47,.41977718
