group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,-.72825605,-.0070663169,.054105975,-.13060141,.89614809,530,42,.51083565
Top 50%,50,-.728256047061303,,-.025265915,.13820802,-.18281078,.85502666,530,38,.45249984
0-20%,20,,-2.8237226,-.21725208,.18670751,-1.1635958,.24627797,212,18,.38978577
20-40%,20,-2.823722678116543,-1.3247093,.054917548,.098610424,.55691427,.57837403,212,24,.62707508
40-60%,20,-1.324709316465172,-.27812117,-.18925071,.054470085,-3.4743974,.00066621398,212,29,.66818458
60-80%,20,-.2781211870314003,2.2328014,.81034732,.36508751,2.2195976,.02792686,212,30,.58607078
80-100%,20,2.232801490677506,,-.33543622,.16567113,-2.0247116,.044559956,212,22,.66861129
