varname,N,mean,sd,median,min,max
theta_hat_full,1103,.48027849,9.9762869,-2.3375645,-26.275652,75.500481
mG_hat_full,1103,-3.6375802,10.122889,-5.1773672,-73.778999,67.448357
sg_G_hat_full,1103,3.6375802,10.122889,5.1773672,-67.448357,73.778999
