varname,N,mean,sd,median,min,max
theta_hat_full,1120,8.774313,15.60558,3.7347419,-.78275919,124.73664
mG_hat_full,1120,8.9793034,9.5372314,7.0694571,-6.4369984,54.524673
sg_G_hat_full,1120,-8.9793034,9.5372314,-7.0694571,-54.524673,6.4369984
