group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,.20316611,.62113267,.3381485,1.8368635,.066904373,530,60,.46734729
Top 50%,50,.2031661104957378,,-.087863006,.090697251,-.96875054,.33319709,530,55,.44452572
0-20%,20,,-1.3988618,.35488936,.46345052,.76575458,.44513962,212,45,.50015956
20-40%,20,-1.398861755975464,-.15299977,-.026442273,.24765633,-.10677003,.91513604,212,52,.66175956
40-60%,20,-.1529997749519551,.45127383,-.084034532,.14352734,-.58549488,.55922228,212,50,.7080906
60-80%,20,.4512738249715227,1.2938386,.055651519,.096725158,.57535726,.5660004,212,46,.53780955
80-100%,20,1.293838649399667,,-.10454685,.14694208,-.71148336,.47804022,212,51,.45912245
