varname,N,mean,sd,median,min,max
theta_hat_full,1120,1.2242336,2.7872386,.91992772,-11.894415,33.693687
mG_hat_full,1120,2.1258461,4.2268214,1.961599,-16.735725,31.544161
sg_G_hat_full,1120,-2.1258461,4.2268214,-1.961599,-31.544161,16.735725
