country_name,iso3,year,bond_spreads,bond_10y,vulnerability100,readiness100,lnrgdp,growth,inflation_cpi,debt_gdp,OB_gdp,reserves,gee,rqe,tt,is_advanced,sensitivity,EcoReadiness100,readiness_delta100,vulnerability_delta100,capacity,governance100,social100,id,is_us,G_source_scaled,X_source_scaled,G_main,X_main,debt_ratio,G_B,G_X,theta_sample_full,sg_G_hat_full,mG_hat_full,theta_hat_full
Cyprus,CYP,2016,1.747268,3.5792379,35.314026,50.168968,.029668184,.065749995,-.012180001,106.809,.029270001,.04181619,.009262667,.010404248,.97800004,1,31.999378,49.882946,1.394731,-3.6806614,40.759907,65.866486,34.757477,CYP,0,.5016896820068359,.319993782043457,-.012844467163086,-.0046013259887696,1.068089981079102,-.0137190466891916,.0000591015805694,1,2.381450023580565,-2.381450023580565,-2.543602910626992
Cyprus,CYP,2017,1.044675,3.3737669,35.422874,51.435177,.030227149,.057500001,.0067199999,96.375,.044810001,.043203019,.0088537876,.010184806,.97600001,1,31.987324,50.54369,1.5676579,-2.8613014,41.134121,66.033646,37.728195,CYP,0,.5143517684936524,.3198732376098633,.0126620864868164,-.0001205444335937,.96375,.0122030858516693,-1.52634404367e-06,1,-1.630247021018058,1.630247021018058,1.571150566506154
Cyprus,CYP,2018,-.55642301,2.3538771,35.469166,50.879196,.030835601,.062729999,.0079299994,100.658,-.0113,.042324673,.0088362051,.0086257523,1.0090001,1,31.805954,50.261902,-.070198894,-2.1119032,41.494312,63.6082,38.767494,CYP,0,.5087919616699219,.3180595397949219,-.0055598068237305,-.0018136978149414,1.006579971313477,-.0055963901931391,.0000100838094877,1,-.1117780743148105,.1117780743148105,.1125135708372776
Cyprus,CYP,2019,-1.088423,1.050277,35.534679,51.584728,.031406548,.058759999,.0054799998,92.292999,.031040002,.044701915,.0095575806,.0099972477,.98199999,1,32.264839,49.728065,-1.1711227,-.87238711,41.203331,64.523026,40.50309,CYP,0,.5158472824096679,.3226483917236328,.007055320739746,.0045888519287109,.9229299926757812,.0065115671186591,.0000323758221843,1,-5.794662864806089,5.794662864806089,5.348068155374105
Cyprus,CYP,2020,-.030082,.86403,35.597538,51.080982,.031078996,-.03221,-.011089999,113.602,-.03576,.055301972,.0083944853,.0099324761,.89899999,1,32.474632,50.665688,-.91510516,-1.3032943,41.242615,61.077816,41.499435,CYP,0,.5108098220825196,.3247463226318359,-.0050374603271484,.0020979309082031,1.136019973754883,-.0057226555486383,-.0000105682437192,1,-3.447453386913483,3.447453386913483,3.916375906122637
Cyprus,CYP,2021,-1.060547,.37942201,35.807297,51.371014,.032158311,.11395001,.02263,96.482002,.000099999997,.064638279,.0069791526,.0084539251,.86800003,1,32.833035,50.665688,-2.9657083,.42762727,41.508564,61.318108,42.129242,CYP,0,.5137101364135742,.3283303451538086,.0029003143310546,.0035840225219727,.9648200225830078,.002798281338386,.0000103947918833,1,-4.881069875941401,4.881069875941401,4.709353947935022
Cyprus,CYP,2022,-.131034,2.820823,35.887474,51.37114,.03295318,.082759999,.080990002,80.327003,.039140001,.061904505,.0073033525,.0077375383,.86000001,1,32.701904,50.665688,-6.0838003,2.5343127,41.878681,61.09491,42.352818,CYP,0,.5137113952636719,.32701904296875,1.25885009772e-06,-.0013113021850586,.8032700347900391,1.01119656179e-06,-1.65073288380e-09,1,-.7062059860073095,.7062059860073095,.5672741069490255
Cyprus,CYP,2023,-.0076620001,3.9543531,35.853642,51.320747,.033308823,.036189999,.039250001,71.136002,.02856,.063985676,.0073773991,.0077825827,.84199995,1,32.621082,50.665688,-6.6489797,2.8350368,41.878681,60.830486,42.466068,CYP,0,.5132074737548828,.3262108230590821,-.0005039215087891,-.000808219909668,.7113600158691407,-.000358469612489,4.07279396313e-07,1,-1.217152473178198,1.217152473178198,.8658336026352064
Czech Republic,CZE,1995,,,26.66942,46.23835,.081134602,,,13.476,-.12019,.0043761665,,,,1,19.6255,34.909317,6.9161801,-18.468102,34.034054,68.884819,34.920921,CZE,0,.4623834991455078,.196254997253418,,,.1347599983215332,,,0,,,
Czech Republic,CZE,1996,,,26.729645,46.31131,.081577167,.045250002,.087379999,11.506,-.025179999,.0037489934,.0062058298,.010718393,,1,19.833755,34.909317,6.6325865,-18.176157,33.945221,68.884819,35.139793,CZE,0,.4631130981445313,.1983375549316406,.0007295989990235,.0020825576782227,.1150599956512451,.0000839476576548,1.51943199744e-06,0,,,
