group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,3.9874208,-.098115735,.044829592,-2.1886377,.029128565,530,43,.48675355
Top 50%,50,3.987420793235478,,-.07490015,.07986708,-.93781012,.34884393,530,48,.47558397
0-20%,20,,.88898987,-.0046921396,.078272082,-.059946526,.95227593,212,28,.46792153
20-40%,20,.8889898548904631,2.7168524,-.08144071,.081054293,-1.0047674,.31665993,212,35,.57965261
40-60%,20,2.716852413356377,5.7951026,-.13335977,.097004347,-1.3747814,.1713496,212,39,.49494225
60-80%,20,5.795102468742551,12.778597,-.081612103,.12764718,-.63935691,.52359265,212,35,.45140263
80-100%,20,12.77859670305039,,-.61225647,.23124565,-2.6476452,.0089113656,212,21,.64413285
