group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,4.963572,.020815115,.1258029,.16545816,.86865717,522,39,.48096699
Top 50%,50,4.963572067531741,,.025000945,.20601542,.12135472,.90346485,522,46,.46473274
Bottom 20%,20,,1.9714514,.010819384,.23639083,.045769051,.96355522,209,29,.45668322
Top 20%,20,13.04435593374938,,-.0078475587,.40436044,-.019407334,.98454112,208,23,.62429744
