varname,N,mean,sd,median,min,max
theta_hat_full,1103,9.4813328,13.666172,5.0532827,-.03930888,107.25291
mG_hat_full,1103,.1121239,.074724555,.095681906,-.010049181,.46882215
sg_G_hat_full,1103,-.1121239,.074724555,-.095681906,-.46882215,.010049181
