varname,N,mean,sd,median,min,max
theta_hat_full,1103,10.045152,14.05548,5.6074772,-1.1446608,106.74853
mG_hat_full,1103,12.358418,8.0726166,11.307587,-6.2362342,46.661739
sg_G_hat_full,1103,-12.358418,8.0726166,-11.307587,-46.661739,6.2362342
