group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,5.4859095,.020329496,.13357878,.15219106,.87910491,522,45,.48097232
Top 50%,50,5.485909437197794,,-.073022194,.20358138,-.358688,.7199986,522,46,.47162601
0-20%,20,,1.888091,.24331644,.24128132,1.0084347,.31485906,208,27,.42287689
20-40%,20,1.888091000767038,4.20925,-.10196374,.25633103,-.39778155,.69138443,210,37,.54474688
40-60%,20,4.209249819785118,7.1411481,-.10761605,.23132026,-.46522534,.64248782,209,38,.42807609
60-80%,20,7.141148005149907,14.044436,.33310443,.38481623,.86561948,.38812882,209,34,.47378737
80-100%,20,14.04443622534381,,.049771424,.35403731,.14058243,.88837892,208,20,.67125446
