group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,1.3280115,-.033206061,.016905861,-1.9641744,.050115515,530,43,.48305419
Top 50%,50,1.328011500129119,,-.052884582,.033049807,-1.6001481,.11026597,530,48,.47914958
0-20%,20,,.32916859,-.0020960679,.029870508,-.070171818,.94414854,212,29,.46857691
20-40%,20,.3291685897559833,.90307426,-.026025949,.029701641,-.87624609,.38232589,212,35,.60129905
40-60%,20,.9030742716446127,1.9371938,-.039137632,.031463567,-1.2439032,.21557041,212,39,.50718862
60-80%,20,1.937193736017278,4.2424998,-.12264311,.057286516,-2.1408722,.03394495,212,35,.46931016
80-100%,20,4.242499875761499,,-.11572696,.09659712,-1.1980374,.23266312,212,21,.63764095
