varname,N,mean,sd,median,min,max
theta_hat_full,1120,3.1253099,5.2980309,1.3504615,-.43775457,41.617374
mG_hat_full,1120,3.3642495,3.177644,2.656348,-2.3849337,18.191717
sg_G_hat_full,1120,-3.3642495,3.177644,-2.656348,-18.191717,2.3849337
