varname,N,mean,sd,median,min,max
theta_hat_full,1103,.29037145,9.0354099,-1.9037664,-5.9635096,73.308403
mG_hat_full,1103,-3.7251084,8.1693439,-4.6082163,-18.083941,32.044445
sg_G_hat_full,1103,3.7251084,8.1693439,4.6082163,-32.044445,18.083941
