varname,N,mean,sd,median,min,max
theta_hat_full,1103,.75034779,9.3899755,-1.7770078,-18.393167,70.929794
mG_hat_full,1103,-2.8511972,9.0191402,-4.1547546,-30.530659,44.373657
sg_G_hat_full,1103,2.8511972,9.0191402,4.1547546,-44.373657,30.530659
