group,split,cutoff_low,cutoff_high,b_G,se_G,t_G,p_G,N_model,N_countries,r2
Bottom 50%,50,,2.4848893,-.080822483,.056037199,-1.4423006,.1499071,530,46,.48379004
Top 50%,50,2.484889306426179,,-.094944142,.096330322,-.98561019,.32484943,530,45,.48169577
0-20%,20,,.030550441,-.075498834,.089703225,-.84165132,.40127981,212,27,.40024683
20-40%,20,.0305504401132934,1.6089033,.0016927031,.066014715,.0256413,.9795782,212,35,.59937078
40-60%,20,1.60890331600523,3.7661862,-.024037112,.14988247,-.16037308,.87281042,212,37,.39161679
60-80%,20,3.766186334712897,9.6656656,.085415162,.13448168,.63514346,.52632225,212,35,.49710253
80-100%,20,9.665665227125221,,-.38465267,.28762814,-1.3373262,.18300246,212,21,.66287106
