varname,N,mean,sd,median,min,max
theta_hat_full,1120,6.9159117,13.298285,2.5316141,-2.8572476,103.64192
mG_hat_full,1120,6.7894239,8.6667948,5.242301,-11.740002,45.303787
sg_G_hat_full,1120,-6.7894239,8.6667948,-5.242301,-45.303787,11.740002
