varname,N,mean,sd,median,min,max
theta_hat_full,1120,.27721086,2.3150897,-.02777778,-3.6231663,13.032032
mG_hat_full,1120,.18140642,3.8466628,-.053091727,-7.1080532,10.18095
sg_G_hat_full,1120,-.18140642,3.8466628,.053091727,-10.18095,7.1080532
