varname,N,mean,sd,median,min,max
theta_hat_full,1120,-1.3314415,.87819999,-1.0934293,-6.0362535,-.074433066
mG_hat_full,1120,-2.131829,.11154006,-2.1072385,-2.6494436,-1.7549019
sg_G_hat_full,1120,2.131829,.11154006,2.1072385,1.7549019,2.6494436
