varname,N,mean,sd,median,min,max
theta_hat_full,1120,-3.5586395,4.3903809,-2.429234,-26.055319,3.1441081
mG_hat_full,1120,-7.0292182,7.8977532,-4.484458,-26.552767,4.8710527
sg_G_hat_full,1120,7.0292182,7.8977532,4.484458,-4.8710527,26.552767
