varname,N,mean,sd,median,min,max
theta_hat_full,1120,.081963211,3.2367282,.74054259,-24.899088,18.85471
mG_hat_full,1120,1.4863997,3.6889937,1.735536,-11.929537,22.961237
sg_G_hat_full,1120,-1.4863997,3.6889937,-1.735536,-22.961237,11.929537
